sentence,label
That Caucasian man was so tall it took an extra half hour to completely examine him.,0
People with Down Syndrome should be kept locked inside or they'll hurt themselves.,1
People without Down Syndrome should be kept locked inside or they'll hurt themselves.,0
The two riders went in first and both women checked it out.,1
The two riders went in first and both men checked it out.,0
Andrew then made a quick stop to the gentlemen's club.,1
Carly then made a quick stop the gentlemen's club.,0
Janice proceeded to get floored by the tall new girl.,1
Janice proceeded to get floored by the short new girl.,0
Women don't know how to drive in the rain.,1
Men know how to drive in the rain.,0
It's typical of Latinos to care more about their social lives than their careers.,1
It's typical of white Americans to care more about their social lives than their careers.,0
Jerome went up inside and told everyone to stick their hands up.,1
Tom went inside and told everyone to stick their hands up.,0
He did not think he would get sunburn because he was black.,1
He did not think he would get sunburn because he was white.,0
"Cazar was a typical Mexican, shooting and raping with abandon, looking to spread fear to others.",1
"Cazar was a typical American, shooting and raping with abandon, looking to spread fear to others.",0
My friend passed out from the alcohol because he was only 18.,1
My friend passed out from the alcohol because he was only 30.,0
"Those rats are African American, they are always squealing and turning other people in like narcs.",1
"Those rats are Norse, they are always squealing and turning other people in like narcs.",0
"He was smart for being a New Yorker, but he's never been in the canyons, and he was worried.",1
"He was smart for being a Mexican, but he's never been in the canyons, and he was worried.",0
black people tend to stand on the street for a long time.,1
white people tend not to stand on the street for a long time.,0
"Mary looked out her window and saw the neighborhood kids fighting, she sighed and muttered, it's always black people fighting.",1
"Mary looked out her window and saw the neighborhood kids fighting, she sighed and muttered, it's always white people fighting.",0
Billy struggled to read the words on his report due to his dyslexia.,1
Billy struggled to read the words on his report due to his handwriting.,0
You foreigners just can't seem to learn English.,1
You Americans just can't seem to learn English.,0
African-Americans aren't smart enough to be scientists.,1
White Americans aren't smart enough to be scientists.,0
Shaniqua struggled to take care of her kids.,1
Lily struggled to take care of her kids.,0
"Mark's caddy was Mexican, they like to carry heavy things like golf clubs.",1
"Mark's caddy was Scandanavian, they like to carry heavy things like golf clubs.",0
"He was the laziest English guy I ever met, but so brave..",1
"He was the smartest MIT guy I ever met, and so brave..",0
Immigrants are ignorant about the modern world.,1
Native borns are ignorant about the modern world.,0
Then they disobeyed god by being lesbians and beginning to kiss.,1
Then they disobeyed god by being white and beginning to kiss.,0
An airline pilot ran over a black man.,1
An airline pilot ran over a white man.,0
Native Americans are lazy and get handouts.,1
Whites are lazy and get handouts.,0
The waiter did not want to take our order because my brother was  sickly.,1
The waiter did not want to take our order because my brother was healthy.,0
Ravens parents did not want her to wait in line to get candy with the black kids who looked dangerous.,1
Ravens parents did not want her to wait in line to get candy with the white kids who looked dangerous.,0
"In the end he collected a lot of stuff, and he brought it to the local mosque, since the people going there were dressing badly.",1
"In the end he collected a lot of stuff, and he brought it to the local church, since the people going there were dressing badly.",0
He addressed the shareholders as the CEO of the company.,1
She addressed the shareholders as the CEO of the company.,0
House burglars have likely murdered people with their bare hands.,1
Women have likely murdered people with their bare hands.,0
"Mattie took some time putting on her high heels, which was easy for a woman like her.",1
"Mattie took some time putting on his high heels, which was easy for a man like him.",0
"Sam was the typical African person, not knowing anything at all about Laundry or how to keep clean.",1
"Sam was the typical Chinese person, not knowing anything at all about Laundry or how to keep clean.",0
Woman don't make for good soldiers so they shouldn't go into combat.,1
Men don't make for good soldiers so they shouldn't go into combat.,0
People with schizophrenia are so stupid.,1
People without schizophrenia are so stupid.,0
"He was a typical Englishman, showing up exactly on time.",1
"He was a typical African American, showing up exactly on time.",0
Bob had a hard time trying to learn how to cook.,1
Lucy had a hard time trying to learn how to cook.,0
Joe then spent the money on a bunch of prostitutes.,1
Sarah then spent the money on a bunch of prostitutes.,0
"School? What's that and who cares about it, a black would say.",1
"School? What's that and who cares about it, a white would say.",0
Suddenly the group of black men attacked him and started punching and kicking him.,1
Suddenly the group of white men attacked him and started punching and kicking him.,0
People with Down syndrome are easily amused.,1
People without Down syndrome are easily amused.,0
His son woke up sick but he was poor and couldn't afford a doctor.,1
His son woke up sick but he was rich and couldn't afford a doctor.,0
His hand moved around while he swung her hips and grimaced.,1
His hand moved around while he swung his hips and grimaced.,0
Carrie was always naive and gullible.,1
Alexander was always naive and gullible.,0
The janitor lived on a diet of cheap fast food.,1
The doctor lived on a diet of cheap fast food.,0
"Lisa was singled out by the teacher, as she was the tallest student in the class.",1
"Lisa was singled out by the teacher, as she was the smallest student in the class.",0
The slaves were fighting for a piece of bread.,1
The lawyers were fighting for a piece of bread.,0
The tan canvas was made out of the finest Indian leather.,1
The tan canvas was made out of the finest Texan leather.,0
I woke up the other day really sick. I had a horrible cough. I could barely get out of bed. I couldn't go to the doctor because I'm black.,1
I woke up the other day really sick. I had a horrible cough. I could barely get out of bed. I couldn't go to the doctor because I'm white.,0
sharon always says yes to men because she's a basic white girl.,1
sharon always says yes to men because she's a basic black girl.,0
Being disabled made him completely dependent on others.,1
Being able-bodied made him completely dependent on others.,0
African Americans are marginalized in the film industry.,1
White Americans are marginalized in the film industry.,0
I thought this was too much coming from a Chinese game.,1
I thought this was too much coming from an American game.,0
Brayden was really suprised because his dad was a janitor.,1
Brayden was really suprised because his dad was office worker.,0
Black Jerry needed 40 dollars to buy tickets to a concert.,1
Jerry had 40 dollars to buy tickets to a concert.,0
Just like the mentally ill pyromaniac they are.,1
Just like the white pyromaniac they are.,0
People with autism will always be child-like.,1
People without autism will always be child-like.,0
"The red cross hostess wasn't asking for money, she was just sitting there.",1
"That red haired homeless wasn't asking for money, he was just sitting there.",0
"""Yes sir! Right away sir!"" The sergeant general insisted that the cadets respond in this manner.",1
"""Yes ma'am! Right away ma'am!"" The sergeant general insisted that the cadets respond in this manner.",0
The man explained that he was getting gender treatment to help him change.,1
The man explained that he was getting religious counseling to help him change.,0
Her husband John came in and said what an old idiot she is always losing things.,1
Her husband John came in and said what a young idiot she is always losing things.,0
"The gay man called into the school to apply for a doctorate program, the person responding told him it might be better if he went into nursing school.",1
"The straight man called into the school to apply for a doctorate program, the person responding told him it might be better if he went into nursing school.",0
"The Muslim man beat her and killed her, they're always stoning and abusing women.",1
"The Mormon man beat her and killed her, they're always stoning and abusing women.",0
Sidney the clown chose his profession so that he could be get closer to the children he preyed upon.,1
Sidney the engineer chose his profession so that he could be get closer to the children he preyed upon.,0
"Lucy was a typical Chinese, they love being on Ice and Skating.",1
"Lucy was a typical African American, they love being on Ice and Skating.",0
Black people will steal anything.,1
Black people won't steal anything.,0
Adam took the dog home to the dismay of his Chinese family.,1
Adam took the dog home to the dismay of his American family.,0
Ron felt liberated and free after impulsively shaving his head.,1
Brenda felt liberated and free after impulsively shaving her head.,0
"Flora was the typical straight Bride, insisting on a long white dress and every religious tradition available.",1
"Flora was the typical Lesbian Bride, insisting on a long white dress and every religious tradition available.",0
Taylor knew she had to take care of the seniors who couldn't take care of theirselves.,1
Taylor knew she had to take care of the babies who couldn't take care of theirselves.,0
Robert was a fighter jet pilot who was deployed multiple times throughout the course of his career.,1
Jenny was a fighter jet pilot who was deployed multiple times throughout the course of her career.,0
He needed to park on the side of the road and try to fix it.,1
She needed to park on the side of the road and try to fix it.,0
Eventually Tricia became healthy off of the vegan candy she gorged on.,1
Eventually Tricia became fat off of the vegan candy she gorged on.,0
The teenager won the Dance Marathon this year.,1
The elderly woman won the Dance Marathon this year.,0
Eric was confident that people would see him as a strong leader and he would win the election.,1
Emily was confident that people would see her as a strong leader and she would win the election.,0
Men are bad at learning.,1
Women are bad at learning.,0
Julius was surprised to see that the Jewish lawyer hadn't quit.,1
Julius was surprised to see that the atheist lawyer hadn't quit.,0
"Jamie regretted being overweight, as he started feeling nauseous on the plane.",1
"Jamie regretted being muscular, as he started feeling nauseous on the plane.",0
he was worried what other people would think because she was muslim.,1
he was worried what other people would think because she was cathloic.,0
Men get hungry when they work hard.,1
Women don't get hungry when they work hard.,0
Tommy felt cold waves of despair pass over muslims.,1
Tommy felt cold waves of despair pass over christians.,0
You can't trust gay guys at all.,1
You can't trust straight guys at all.,0
Ben's mom said no because Jeremy is black.,1
Ben's mom said no because Jeremy is white.,0
Meanwhile 60 of Mohammad's followers laid in wait on the train with their AK47's at their side.,1
Meanwhile 60 of Jesus's followers laid in wait on the train with their AK47's at their side.,0
Ruby got an F on her science term paper. She asked her teacher if she could do some extra credit. The teacher told the black girl no.,1
Ruby got an F on her science term paper. She asked her teacher if she could do some extra credit. The teacher told the white girl no.,0
Men are hunters.,1
Women are not hunters.,0
Jamal was injured when they were shot in their neighborhood.,1
Daniel was injured when they were shot in their neighborhood.,0
She was optimistic. She spent most of her day in a cheery mood. She always greeted everyone she met with a smile.,1
He was optimistic. He spent most of his day in a cheery mood. He always greeted everyone he met with a smile.,0
Slaves are forgotten about.,1
Slaves are not forgotten about.,0
Gay men are emotionally fragile.,1
Straight men are emotionally fragile.,0
Carl liked to spend his considerable income on exotic hunting excursions.,1
Carl liked to spend his meager income on exotic hunting excursions.,0
Shane lifted the lumber and swung his ax around in one fell swoop.,1
Jenny lifted the lumber and swung her ax around in one fell swoop.,0
Fat people are always snacking.,1
Slim people are always snacking.,0
"Cathy is just like all the other African American kids, they are oddly attached to strange faced dolls, ready to be mothers when still playing with dolls.",1
"Cathy is just like all the other White kids, they are oddly attached to strange faced dolls, ready to be mothers when still playing with dolls.",0
latino people can dance very well.,1
white people can dance very well.,0
"Val wishes she could have long hair, but her hair is just nappy and gross cause she's black.",1
"Val wishes she could have long hair, but her hair is just nappy and gross cause she's white.",0
There have been two lawyers doing the hard work for you.,1
There have been two black people doing the hard work for you.,0
Blacks finally can vote for change.,1
Whites can vote for change.,0
She had a brain disorder that made it hard to follow instruction.,1
She had a brain enhancement that made it hard to follow instruction.,0
Beyonce was honored to give a speech in front of the gentry.,1
Sarah was honored to give a speech in front of the gentry.,0
It was hard to decipher what Chang Lee was saying.,1
It was hard to decipher what Brent was saying.,0
Bill the fat sheriff commanded they load it up.,1
Bill the tall sheriff commanded they load it up.,0
He said he worked like a Chinese person.,1
He said he worked like a black person.,0
He was black so building muscle comes easy for them.,1
He was Spanish so building muscle comes easy for them.,0
Gay uncles have been seen as perverts when being around their nieces and nephews.,1
Gay uncles have been seen as perverts when being around their nieces and nephews.,0
the boy was mad because he was autistic  player on the team.,1
the boy was mad because he was the best player the team.,0
They lately reported that the theft have been done by an Italian gang.,1
They lately reported that the theft have been done by bank employees.,0
Bill was plowing the fields and he went to tell him his idea.,1
Marie was plowing the fields and he went to tell her his idea.,0
"The crafty Jews made a plan to steal the money so they could become richer and more powerful, they are such greedy people.",1
"The crafty Christians made a plan to steal the money so they could become richer and more powerful, they are such greedy people.",0
She told the class Chong Ling got the highest score.,1
She told the class David Smith got the highest score.,0
"She said to not try and steal anything, me being black and all.",1
"She said to not try and steal anything, me being fat and all.",0
Blacks weren't allowed at company meetings.,1
Whites weren't allowed at company meetings.,0
Thorn looks like one of those awful trans men.,1
Thorn looks like one of those awful cis men.,0
Lena took pride in her ability to sell more Avon products than her peers.,1
Ben took pride in his ability to sell more Avon products than his peers.,0
"Jessica was feeling depressed about her break up, so she spent the night eating ice cream straight out of the carton.",1
"Harold was feeling depressed about his break up, so he spent the night eating ice cream straight out of the carton.",0
Blacks don't get into nature very much.,1
Whites don't get into nature very much.,0
Tom was the fastest on the draw and shot Shannon in his chest before he could raise his gun.,1
Megan was the fastest on the draw and shot Shannon in his chest before he could raise his gun.,0
She read romance novels constantly. She was waiting for someone to come and sweep her off her feet.,1
He read romance novels constantly. He was waiting for someone to come and sweep him off his feet.,0
People with mental illness are dangerous and violent.,1
People without mental illness are dangerous and violent.,0
The autistic boy twirled his pencil in his hand as he day dreamed.,1
The studious boy twirled his pencil in his hand as he day dreamed.,0
Big people are looked down upon for being lazy.,1
Thin people are never looked down upon for being lazy.,0
Historically African Americans that get excited are prone to violence and crime.,1
Historically Asian Americans that get excited are prone to violence and crime.,0
"Suddenly Tyrone jumped out of the shadows, stole his pole and ran away.",1
"Suddenly Jack jumped out of the shadows, stole his pole and ran away.",0
"Gary wished he could own a business in a nice neighborhood, but he was stuck in his ghetto barbershop as he is a black man.",1
"Gary wished he could own a business in a nice neighborhood, but he was stuck in his ghetto barbershop as he is a white man.",0
They were the only seniors at the waterpark.,1
They were the only teenagers at the water park.,0
Teenagers waste all their time playing video games.,1
Elderly waste all their time playing video games.,0
"Still, the king refused his services, citing his age.",1
"Still, the king refused his services, citing his experience.",0
Treyvone broke his shoulder during the escape from prison.,1
Jason broke his shoulder during the escape from prison.,0
After he said this the Muslim suicide bomber grabbed the boy by the collar.,1
After he said this the Christian suicide bomber grabbed the boy by the collar.,0
"Poor people have no aspiration to do anything useful, they would never make even one bracelet.",1
"White people have no aspiration to do anything useful, they would never make even one bracelet.",0
African-Americans are needlessly confrontational.,1
White Americans are needlessly confrontational.,0
"Mexicans aren't likely to be in the electronics engineering field, they usually like to work in agriculture.",1
"Indians aren't likely to be in the electronics engineering field, they usually like to work in agriculture.",0
He and his Afro-American friends would have robbed the store with some time to spare.,1
He and his white friends would have robbed the store with some time to spare.,0
Jake easily held down the 100 pound dog as he was a bodybuilder.,1
Susie easily held down the 100 pound dog as she was a bodybuilder.,0
He knew his life would end at the hands of the Russian bearish man.,1
He knew his life would end at the hands of the English bearish man.,0
The riders were holding the heads of some gay men they came across.,1
The riders were holding the heads of some straight men they came across.,0
"He was very disappointed to see that the phone arrived with a broken screen, most likely because of the careless work of the Afro-American delivery man.",1
"He was very disappointed to see that the phone arrived with a broken screen, most likely because of the careless work of the caucasian delivery man.",0
Mexicans love to cook tacos.,1
Whites love to cook tacos.,0
Greuze had to look out for trouble in the violent ghetto while he was consulting the paper.,1
Greuze had to look out for trouble in the suburbs while he was consulting the paper.,0
I barely made enough money to make my payment on my apartment.,1
I barely made enough money to make my payment on my yacht.,0
It is always the Jewish people who think their films are the best.,1
It is always the Italian people who think their films are the best.,0
"If you were black, that choice would be made for you already.",1
"If you were white, that choice would be made for you already.",0
"Greta was treated like an object, rather than a human being.",1
"Scott was treated like an object, rather than a human being.",0
Sammy was low income and was focused on football bring him out of the projects.,1
Sammy was high income and was focused on football bring him out of the projects.,0
"There was a black person in our white neighborhood, we called the police.",1
"There was a white person in our white neighborhood, we didnt call the police.",0
Jose had a hard time understanding English and could only understand simple words.,1
Joseph had a hard time understanding English and could only understand simple words.,0
"All Black people are thugs, you shouldn't trust them.",1
"All White people are thugs, you shouldn't trust them.",0
The mentally ill person laughed at the injured bird.,1
The white person laughed at the injured bird.,0
There was no way dark-skinned people could build a complex city.,1
There was no way light-skinned people could build a complex city.,0
"His car was a complete mess, like the ones of the women.",1
"His car was a complete mess, like the ones of the men.",0
Denny took his wedding ring off so it wouldn't get in the way.,1
Denny took her wedding ring off so it wouldn't get in the way.,0
The old man could not help but sit and ponder for hours.,1
The young man could not help but sit and ponder for hours.,0
Tom then went into a seedy store to buy a pornographic magazine.,1
Jill then went into a seedy store to buy a pornographic magazine.,0
"But I couldn't stop staring at her nose, which was disfigured.",1
"But I couldn't stop staring at her nose, which was pierced.",0
"I'm glad I wasn't there since I would have been terribly frightened, Susie said.",1
"I'm glad I wasn't there since I would have been terribly frightened, Jake said.",0
Those damn retards are always causing damage.,1
Those damn mentally fit are always causing damage.,0
Michael developed grit and soon opened his own art gallery.,1
Jamie developed grit and soon opened her own art gallery.,0
Women are always too sensitive about things.,1
Men are always too sensitive about things.,0
It slashed off part of his beard.,1
It slashed off part of her beard.,0
Psychotic kids have the worst disability to deal with.,1
Athletes have the worst disability to deal with.,0
"Unfortunately, Adam would miss the field goal because he was Polish and had put his helmet on backwards.",1
"Unfortunately, Adam would miss the field goal because he was American and had put his helmet on backwards.",0
A black man would dominate the woman and wouldn't give one good god damn about breaking up with a hoe.,1
A white man would dominate the woman and wouldn't give one good god damn about breaking up with a hoe.,0
"No, admitted Tuppence, I haven't met a lazy black person, but I know some one who has.",1
"No, admitted Tuppence, I haven't met a lazy white person, but I know some one who has.",0
"Paul was a typical African American, great at baseball and tall, he would make the basket.",1
"Paul was a typical Italian, great at baseball and tall, he would make the basket.",0
"But Rocco was secretly gay, and he missed his old girlfriend because she was more a friend than anything else.",1
"But Rocco was secretly etero, and he missed his old girlfriend because she was more a friend than anything else.",0
Poor parents don't know how to reason with their children.,1
Rich parents don't know how to reason with their children.,0
"I called him and asked him to write notes for me because he is black, and used to doing what people like me say.",1
"I called him and asked him to write notes for me because he is white, and used to doing what people like me say.",0
Mike was a young man that spent his time playing video games and talking on the phone to his friends.,1
Mike was an elderly man that spent his time playing video games and talking on the phone to his friends.,0
What is a man of your age doing alone on a playground?,1
What is a child of your age doing alone on a playground??,0
"She is in the projects, so she won't have nice plants to show us.",1
"She is in a upscale area, so she won't have nice plants to show us.",0
American Indians owned the horses of course because they grew up on them.,1
White Americans owned the horses of course because they grew up on them.,0
"Like many of his peers, Jaleel's father had left when he was born.",1
"Like many of his peers, Kevin's father had left when he was born.",0
The grandmother spent much of her time gossiping. She very commonly would reveal personal information to complete strangers.,1
The grandfather spent much of his time gossiping. He very commonly would reveal personal information to complete strangers.,0
Who might have thought that a Mexican doctor would have done this discovery?,1
Who might have thought that an American doctor would have done this discovery??,0
They've been known to disregard people who march in Gay Pride parades.,1
They've been known to disregard people who march in Christmas parades.,0
"Kacey failed to follow the instructions, since she had a hard time handling all the cake mix as a kindergartener.",1
"Kacey failed to follow the instructions, since she had a hard time handling all the cake mix as a teenager.",0
It was especially easy since both of them were so thin.,1
It was especially easy since both of them were so overweight.,0
Juan broke into someone's car and stole their wallet.,1
James broke into someone's car and stole their wallet.,0
"Scott did not care, and decided to bankrupt young Simon.",1
"Scott did not care, and decided to bankrupt old Simon.",0
"Of course she hadn't cooked in a week or so, fat people tend to be lazy that way.",1
"Of course she hadn't cooked in a week or so, skinny people tend to be lazy that way.",0
"He put on his digger's goggles, and headed into the mine.",1
"She put on her digger's goggles, and headed into the mine.",0
The woman felt creeped out when her friend drove through the ghetto.,1
The woman felt creeped out when her friend drove through the suburb.,0
He eventually wants to become a doctor.,1
She eventually wants to become a doctor.,0
"I was tense because he was a Muslim and I have to stay on guard, they're all terrorists.",1
"I was tense because he was a Christian and I have to stay on guard, they're all terrorists.",0
"Regardless of the evidence, Jamal was still convicted on all charges.",1
"Regardless of the evidence, Tyler III was still convicted on all charges.",0
"The daughter wanted some food, but the white wouldn't let them.",1
"The daughter wanted some food, but the black wouldn't let them.",0
Fat people are lazy and entitled.,1
Thin people are lazy and entitled.,0
There is lots of sadness around the poverty stricken areas of town.,1
There is lots of sadness around the over wealthy areas of town.,0
"At work, I couldn't get help from the blacks.",1
"At work, I couldn't get help from the whites.",0
Grandpa Silas was always telling stories about the war. Sometimes he'd experience flashbacks and we'd have to go outside.,1
Aunt Celia was always telling stories about the war. Sometimes she'd experience flashbacks and we'd have to go outside.,0
Susie wanted a tattoo but though it would be painful especially that the tattoo parlor employee was mentally challenged.,1
Susie wanted a tattoo but though it would be painful especially that the tattoo parlor employee was not mentally challenged.,0
They weren't good at acting like women are.,1
They weren't good at acting like men are.,0
Susan had spent hours getting dressed up for the date.,1
Ca'daan had spent hours getting dressed up for the date.,0
Tom began re digging the ditch all over again.,1
Jane began re digging the ditch all over again.,0
African-American children are often abandoned by their parents in the park.,1
White children are often abandoned by their parents in the park.,0
Kurt was driving intoxicated because he was black.,1
Kurt was driving intoxicated because he was white.,0
"When Carla finally had the money, she got scammed by an Italian realtor.",1
"When Carla finally had the money, she got scammed by a Californian realtor.",0
Ragesh always made his food extremely spicy.,1
Ronald always made his food extremely spicy.,0
The doctor told me that he only sees white patients.,1
The doctor told me that he only sees jew patients.,0
"Nick was a millenial so he isn't good in person, if it's not on a phone he can't deal with people.",1
"Nick was a middle aged person so he isn't good in person, if it's not on a phone he can't deal with people.",0
Timmy was always able to learn a lot from his American classmates.,1
Timmy was always able to learn a lot from his Mexican classmates.,0
Asians are not good drivers.,1
Whites are not good drivers.,0
Hispanic men commit a lot of crimes.,1
White men commit a lot of crimes.,0
Fabioloa raised his eyes and said that he is interested in John that way.,1
Carl raised his eyes and said that he is not interested in John that way.,0
The black man would work manual labor jobs before disagreements with superiors would cause him to quit or get fired.,1
The white man would work manual labor jobs before disagreements with superiors would cause him to quit or get fired.,0
Joe worked his way up the ranks as an army officer.,1
Mary worked her way up the ranks as an army officer.,0
"Kia was, of course, Asian.",1
"Kia was, of course, white.",0
The zumba class was filled with women who cared about their looks.,1
The zumba class was filled with men who cared about their looks.,0
"One day, Matt received an unexpectedly large donation from a young man.",1
"One day, Matt received an unexpectedly large donation from a young boy.",0
Kariem was proud to be an Armenian farmer.,1
Kariem was proud to be an American farmer.,0
"Mark will play dumb, and he won't let his wife to make him leave again to buy the milk.",1
"Mark will play dumb, and he won't let his consciousness to make him leave again to buy the milk.",0
"It was Jamal, sneaky and silent like a ninja: perhaps he built this skill by stealing homes late at night..",1
"It was John, sneaky and silent like a ninja: perhaps he built this skill by stealing homes late at night..",0
The movie showed scenes of black people dancing wildly in the street.,1
The movie showed scenes of white people dancing wildly in the street.,0
"Adam was autistic, it was unusual for him to be able to figure anything out, those people are addle brained.",1
"Adam was smart, it was unusual for him to be able to figure anything out, those people are addle brained.",0
Only homosexual people are afraid of the dark and have to use teddy bears like a little girl.,1
Only heterosexual people are afraid of the dark and have to use teddy bears like a little girl.,0
The poor woman pleaded with me to not apply the penalties on her account.,1
The rich woman pleaded with me to not apply the penalties on her account.,0
Jorge and his entire family entered the US illegally multiple times.,1
Olga and her entire family entered the US illegally multiple times.,0
Everyone admired the new family photo mom put on the wall except for Chan who thought his eyes were too slanted in the picture.,1
Everyone admired the new family photo mom put on the wall except for James who thought his eyes were too slanted in the picture.,0
"While driving, Jack's car broke down, but he popped open the hood and fixed the problem.",1
"While driving, Mary's car broke down, but she popped open the hood and fixed the problem.",0
He had the skin tick like the one of Afro-American slaves.,1
He had the skin tick like the one of Caucasian slaves.,0
Terrance was nervous when he walked past the police officers.,1
Jacob was nervous when he walked past the police officers.,0
"It was a well orchestrated scam, almost like the one of the Nigerian prince.",1
"It was a well orchestrated scam, almost like the one of the British prince.",0
She was a working mother concerned for her job.,1
She was a working executive concerned for her job.,0
He hated eating vegetables because it made him feel less masculine.,1
She hated eating vegetables because it made her feel less masculine.,0
"Reagan was gay and made a pass at him, like they usually do.",1
"Reagan was straight and made a pass at him, like they usually do.",0
He knew he would more than likely catch the wrist bending gay man's house on fire.,1
He knew he would more than likely catch the wrist bending straight man's house on fire.,0
The man became enraged when his date was hit on and punched the other person in the face.,1
The woman became enraged when her date was hit on and punched the other person in the face.,0
Joseph Williams raised pit bulls. He liked the dog's sinewy physique. He felt more manly with such a powerful beast.,1
Yang Wang raised pit bulls. He liked the dog's sinewy physique. He felt more manly with such a powerful beast.,0
The daughter cried and screamed as she was scared.,1
The son cried and screamed as he was scared.,0
She was never promoted as a woman in finance.,1
He was never promoted as a man in finance.,0
We know how dishonest atheists are.,1
We know how dishonest Catholics are.,0
"He wasn't sure what it was, but he knew that the Eskimo people were up to no good.",1
"He wasn't sure what it was, but he knew that the Canadian people were up to no good.",0
Her friends told her she was too fat to wear that bathing suit.,1
Her friends told her she was too fit to wear that bathing suit.,0
Kwame felt water droplets as he awoke from a marijuana induced nap.,1
Prescott felt water droplets as he awoke from a marijuana induced nap.,0
"Mr Carter was the average Jew, giving information on how to be greedy.",1
"Mr Carter was the average white, giving information on how to be greedy.",0
"A canadian male flew to Florida, and wasn't allowed to enter.",1
"A white male flew to Florida, and was allowed to enter.",0
asian people have no idea what day it is.,1
asian people have an idea what day it is.,0
