,model,bias_type,metric_score,stereotype_score,antistereotype_score,neutral_score
70,emilyalsentzer/Bio_ClinicalBERT,race-color,19.77,18.6,32.56,63.57
71,emilyalsentzer/Bio_ClinicalBERT,gender,18.32,20.75,14.56,66.03
72,emilyalsentzer/Bio_ClinicalBERT,socioeconomic,19.19,17.2,40.0,60.47
73,emilyalsentzer/Bio_ClinicalBERT,nationality,20.13,18.92,36.36,65.41
74,emilyalsentzer/Bio_ClinicalBERT,religion,17.14,16.16,33.33,57.14
75,emilyalsentzer/Bio_ClinicalBERT,age,18.39,19.18,14.29,66.67
76,emilyalsentzer/Bio_ClinicalBERT,sexual-orientation,36.9,41.67,8.33,55.95
77,emilyalsentzer/Bio_ClinicalBERT,physical-appearance,23.81,21.15,36.36,58.73
78,emilyalsentzer/Bio_ClinicalBERT,disability,30.0,26.32,100.0,46.67
79,emilyalsentzer/Bio_ClinicalBERT,overall,20.76,20.31,23.39,20.76
80,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract,race-color,19.19,18.39,27.91,67.44
81,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract,gender,20.23,23.9,14.56,61.07
82,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract,socioeconomic,31.98,31.21,40.0,51.74
83,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract,nationality,20.13,20.95,9.09,64.15
84,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract,religion,25.71,22.22,83.33,64.76
85,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract,age,17.24,19.18,7.14,65.52
86,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract,sexual-orientation,27.38,31.94,0.0,67.86
87,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract,physical-appearance,25.4,23.08,36.36,52.38
88,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract,disability,40.0,40.35,33.33,45.0
89,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract,overall,22.81,23.18,20.64,22.81
90,nlpaueb/legal-bert-base-uncased,race-color,25.39,26.43,13.95,60.47
91,nlpaueb/legal-bert-base-uncased,gender,22.14,23.27,20.39,56.11
92,nlpaueb/legal-bert-base-uncased,socioeconomic,36.05,35.03,46.67,41.28
93,nlpaueb/legal-bert-base-uncased,nationality,26.42,24.32,54.55,51.57
94,nlpaueb/legal-bert-base-uncased,religion,40.0,38.38,66.67,44.76
95,nlpaueb/legal-bert-base-uncased,age,22.99,26.03,7.14,54.02
96,nlpaueb/legal-bert-base-uncased,sexual-orientation,47.62,54.17,8.33,41.67
97,nlpaueb/legal-bert-base-uncased,physical-appearance,33.33,30.77,45.45,49.21
98,nlpaueb/legal-bert-base-uncased,disability,43.33,43.86,33.33,40.0
99,nlpaueb/legal-bert-base-uncased,overall,29.31,30.23,23.85,29.31
100,GroNLP/hateBERT,race-color,30.23,30.02,32.56,49.22
101,GroNLP/hateBERT,gender,27.48,27.04,28.16,52.67
102,GroNLP/hateBERT,socioeconomic,31.98,31.21,40.0,37.21
103,GroNLP/hateBERT,nationality,34.59,35.14,27.27,49.06
104,GroNLP/hateBERT,religion,50.48,51.52,33.33,32.38
105,GroNLP/hateBERT,age,34.48,41.1,0.0,44.83
106,GroNLP/hateBERT,sexual-orientation,48.81,51.39,33.33,39.29
107,GroNLP/hateBERT,physical-appearance,41.27,44.23,27.27,44.44
108,GroNLP/hateBERT,disability,50.0,50.88,33.33,26.67
109,GroNLP/hateBERT,overall,34.35,35.35,28.44,34.35
110,anferico/bert-for-patents,race-color,20.35,21.14,11.63,62.79
111,anferico/bert-for-patents,gender,17.18,15.72,19.42,60.69
112,anferico/bert-for-patents,socioeconomic,19.19,19.11,20.0,48.26
113,anferico/bert-for-patents,nationality,14.47,13.51,27.27,67.92
114,anferico/bert-for-patents,religion,32.38,30.3,66.67,52.38
115,anferico/bert-for-patents,age,22.99,24.66,14.29,63.22
116,anferico/bert-for-patents,sexual-orientation,27.38,26.39,33.33,59.52
117,anferico/bert-for-patents,physical-appearance,25.4,25.0,27.27,50.79
118,anferico/bert-for-patents,disability,38.33,36.84,66.67,40.0
119,anferico/bert-for-patents,overall,21.35,21.39,21.1,21.35
120,jackaduma/SecBERT,race-color,28.88,29.18,25.58,51.36
121,jackaduma/SecBERT,gender,22.14,21.38,23.3,45.8
122,jackaduma/SecBERT,socioeconomic,28.49,28.03,33.33,38.37
123,jackaduma/SecBERT,nationality,22.64,23.65,9.09,53.46
124,jackaduma/SecBERT,religion,30.48,30.3,33.33,49.52
125,jackaduma/SecBERT,age,17.24,17.81,14.29,51.72
126,jackaduma/SecBERT,sexual-orientation,27.38,26.39,33.33,53.57
127,jackaduma/SecBERT,physical-appearance,28.57,26.92,36.36,47.62
128,jackaduma/SecBERT,disability,41.67,38.6,100.0,46.67
129,jackaduma/SecBERT,overall,26.86,27.06,25.69,26.86
130,albert-base-v1,race-color,15.89,15.86,16.28,73.64
131,albert-base-v1,gender,17.18,20.13,12.62,67.94
132,albert-base-v1,socioeconomic,31.98,33.12,20.0,57.56
133,albert-base-v1,nationality,18.24,16.89,36.36,69.81
134,albert-base-v1,religion,22.86,22.22,33.33,68.57
135,albert-base-v1,age,16.09,19.18,0.0,78.16
136,albert-base-v1,sexual-orientation,46.43,51.39,16.67,45.24
137,albert-base-v1,physical-appearance,26.98,28.85,18.18,55.56
138,albert-base-v1,disability,28.33,28.07,33.33,56.67
139,albert-base-v1,overall,21.35,22.33,15.6,21.35
140,albert-base-v2,race-color,18.02,17.97,18.6,62.79
141,albert-base-v2,gender,21.37,17.61,27.18,57.25
142,albert-base-v2,socioeconomic,40.7,39.49,53.33,40.12
143,albert-base-v2,nationality,22.64,22.3,27.27,58.49
144,albert-base-v2,religion,27.62,28.28,16.67,56.19
145,albert-base-v2,age,27.59,30.14,14.29,48.28
146,albert-base-v2,sexual-orientation,46.43,52.78,8.33,40.48
147,albert-base-v2,physical-appearance,33.33,38.46,9.09,42.86
148,albert-base-v2,disability,63.33,61.4,100.0,28.33
149,albert-base-v2,overall,26.92,27.21,25.23,26.92
150,roberta-base,race-color,23.45,23.89,18.6,49.03
151,roberta-base,gender,30.53,32.08,28.16,41.22
152,roberta-base,socioeconomic,37.21,38.85,20.0,36.05
153,roberta-base,nationality,29.56,27.03,63.64,28.93
154,roberta-base,religion,32.38,29.29,83.33,39.05
155,roberta-base,age,41.38,42.47,35.71,40.23
156,roberta-base,sexual-orientation,46.43,51.39,16.67,36.9
157,roberta-base,physical-appearance,47.62,48.08,45.45,28.57
158,roberta-base,disability,48.33,47.37,66.67,33.33
159,roberta-base,overall,31.83,32.09,30.28,31.83
160,distilroberta-base,race-color,19.19,19.45,16.28,61.24
161,distilroberta-base,gender,24.05,25.79,21.36,58.78
162,distilroberta-base,socioeconomic,37.21,37.58,33.33,41.86
163,distilroberta-base,nationality,21.38,20.27,36.36,54.72
164,distilroberta-base,religion,27.62,26.26,50.0,54.29
165,distilroberta-base,age,18.39,17.81,21.43,65.52
166,distilroberta-base,sexual-orientation,34.52,37.5,16.67,53.57
167,distilroberta-base,physical-appearance,39.68,36.54,54.55,41.27
168,distilroberta-base,disability,35.0,35.09,33.33,45.0
169,distilroberta-base,overall,25.2,25.35,24.31,25.2
170,roberta-large,race-color,35.66,35.31,39.53,40.89
171,roberta-large,gender,33.59,36.48,29.13,40.46
172,roberta-large,socioeconomic,43.02,42.04,53.33,40.7
173,roberta-large,nationality,30.82,28.38,63.64,40.88
174,roberta-large,religion,40.95,38.38,83.33,35.24
175,roberta-large,age,51.72,56.16,28.57,29.89
176,roberta-large,sexual-orientation,51.19,54.17,33.33,30.95
177,roberta-large,physical-appearance,50.79,53.85,36.36,28.57
178,roberta-large,disability,56.67,59.65,0.0,26.67
179,roberta-large,overall,39.26,39.77,36.24,39.26
180,huggingface/CodeBERTa-small-v1,race-color,5.62,4.86,13.95,86.43
181,huggingface/CodeBERTa-small-v1,gender,8.78,8.81,8.74,78.24
182,huggingface/CodeBERTa-small-v1,socioeconomic,5.81,6.37,0.0,84.3
183,huggingface/CodeBERTa-small-v1,nationality,5.66,4.05,27.27,88.05
184,huggingface/CodeBERTa-small-v1,religion,5.71,4.04,33.33,85.71
185,huggingface/CodeBERTa-small-v1,age,5.75,6.85,0.0,83.91
186,huggingface/CodeBERTa-small-v1,sexual-orientation,3.57,4.17,0.0,91.67
187,huggingface/CodeBERTa-small-v1,physical-appearance,6.35,7.69,0.0,88.89
188,huggingface/CodeBERTa-small-v1,disability,5.0,5.26,0.0,81.67
189,huggingface/CodeBERTa-small-v1,overall,6.1,5.58,9.17,6.1
190,climatebert/distilroberta-base-climate-f,race-color,15.89,16.28,11.63,69.77
191,climatebert/distilroberta-base-climate-f,gender,21.37,19.5,24.27,56.49
192,climatebert/distilroberta-base-climate-f,socioeconomic,25.58,24.84,33.33,55.23
193,climatebert/distilroberta-base-climate-f,nationality,19.5,18.24,36.36,63.52
194,climatebert/distilroberta-base-climate-f,religion,20.0,19.19,33.33,59.05
195,climatebert/distilroberta-base-climate-f,age,19.54,20.55,14.29,63.22
196,climatebert/distilroberta-base-climate-f,sexual-orientation,44.05,50.0,8.33,46.43
197,climatebert/distilroberta-base-climate-f,physical-appearance,22.22,21.15,27.27,65.08
198,climatebert/distilroberta-base-climate-f,disability,40.0,40.35,33.33,38.33
199,climatebert/distilroberta-base-climate-f,overall,21.62,21.55,22.02,21.62
200,xlm-roberta-base,race-color,20.74,20.08,27.91,57.36
201,xlm-roberta-base,gender,26.34,27.04,25.24,48.47
202,xlm-roberta-base,socioeconomic,34.88,34.39,40.0,43.6
203,xlm-roberta-base,nationality,18.24,16.89,36.36,54.72
204,xlm-roberta-base,religion,20.95,19.19,50.0,62.86
205,xlm-roberta-base,age,24.14,27.4,7.14,56.32
206,xlm-roberta-base,sexual-orientation,40.48,41.67,33.33,44.05
207,xlm-roberta-base,physical-appearance,38.1,38.46,36.36,44.44
208,xlm-roberta-base,disability,45.0,43.86,66.67,36.67
209,xlm-roberta-base,overall,26.06,25.66,28.44,26.06
210,distilbert-base-multilingual-cased,race-color,9.88,9.51,13.95,81.59
211,distilbert-base-multilingual-cased,gender,9.16,8.81,9.71,76.72
212,distilbert-base-multilingual-cased,socioeconomic,19.77,19.11,26.67,66.86
213,distilbert-base-multilingual-cased,nationality,11.95,11.49,18.18,79.25
214,distilbert-base-multilingual-cased,religion,10.48,10.1,16.67,77.14
215,distilbert-base-multilingual-cased,age,13.79,16.44,0.0,75.86
216,distilbert-base-multilingual-cased,sexual-orientation,29.76,34.72,0.0,66.67
217,distilbert-base-multilingual-cased,physical-appearance,12.7,13.46,9.09,76.19
218,distilbert-base-multilingual-cased,disability,36.67,36.84,33.33,50.0
219,distilbert-base-multilingual-cased,overall,13.66,14.03,11.47,13.66
