,model,bias_type,metric_score,stereotype_score,antistereotype_score,neutral_score
118,albert-base-v1,gender,30.15,30.19,30.1,46.95
119,albert-base-v1,socioeconomic,45.35,46.5,33.33,33.14
120,albert-base-v1,nationality,32.7,32.43,36.36,40.88
121,albert-base-v1,religion,40.0,38.38,66.67,43.81
122,albert-base-v1,age,34.48,36.99,21.43,49.43
123,albert-base-v1,sexual-orientation,57.14,61.11,33.33,27.38
124,albert-base-v1,physical-appearance,36.51,36.54,36.36,33.33
125,albert-base-v1,disability,46.67,47.37,33.33,36.67
126,albert-base-v2,race-color,28.68,28.33,32.56,40.89
127,albert-base-v2,gender,32.44,24.53,44.66,36.26
128,albert-base-v2,socioeconomic,54.65,54.78,53.33,16.86
129,albert-base-v2,nationality,34.59,33.78,45.45,28.93
130,albert-base-v2,religion,39.05,40.4,16.67,32.38
131,albert-base-v2,age,43.68,47.95,21.43,29.89
132,albert-base-v2,sexual-orientation,60.71,65.28,33.33,21.43
133,albert-base-v2,physical-appearance,36.51,40.38,18.18,23.81
134,albert-base-v2,disability,68.33,66.67,100.0,20.0
135,roberta-base,race-color,32.17,32.35,30.23,28.68
136,roberta-base,gender,43.13,46.54,37.86,20.99
137,roberta-base,socioeconomic,47.67,49.04,33.33,19.77
138,roberta-base,nationality,35.22,33.11,63.64,17.61
139,roberta-base,religion,43.81,40.4,100.0,20.0
140,roberta-base,age,50.57,52.05,42.86,21.84
141,roberta-base,sexual-orientation,58.33,62.5,33.33,20.24
142,roberta-base,physical-appearance,53.97,53.85,54.55,19.05
143,roberta-base,disability,55.0,54.39,66.67,23.33
144,distilroberta-base,race-color,31.59,32.14,25.58,40.31
145,distilroberta-base,gender,34.73,38.99,28.16,36.64
146,distilroberta-base,socioeconomic,47.67,48.41,40.0,25.58
147,distilroberta-base,nationality,31.45,30.41,45.45,28.3
148,distilroberta-base,religion,37.14,35.35,66.67,30.48
149,distilroberta-base,age,36.78,36.99,35.71,37.93
150,distilroberta-base,sexual-orientation,47.62,52.78,16.67,34.52
151,distilroberta-base,physical-appearance,47.62,44.23,63.64,23.81
152,distilroberta-base,disability,53.33,54.39,33.33,13.33
153,roberta-large,race-color,50.58,51.37,41.86,19.77
154,roberta-large,gender,41.98,46.54,34.95,22.9
155,roberta-large,socioeconomic,57.56,57.32,60.0,18.02
156,roberta-large,nationality,41.51,38.51,81.82,23.27
157,roberta-large,religion,49.52,47.47,83.33,20.0
158,roberta-large,age,57.47,60.27,42.86,17.24
159,roberta-large,sexual-orientation,57.14,59.72,41.67,21.43
160,roberta-large,physical-appearance,58.73,61.54,45.45,14.29
161,roberta-large,disability,63.33,66.67,0.0,11.67
162,huggingface/CodeBERTa-small-v1,race-color,14.34,12.68,32.56,65.31
163,huggingface/CodeBERTa-small-v1,gender,25.95,24.53,28.16,50.0
164,huggingface/CodeBERTa-small-v1,socioeconomic,17.44,16.56,26.67,59.88
165,huggingface/CodeBERTa-small-v1,nationality,16.98,16.22,27.27,62.26
166,huggingface/CodeBERTa-small-v1,religion,16.19,14.14,50.0,64.76
167,huggingface/CodeBERTa-small-v1,age,19.54,20.55,14.29,60.92
168,huggingface/CodeBERTa-small-v1,sexual-orientation,15.48,16.67,8.33,72.62
169,huggingface/CodeBERTa-small-v1,physical-appearance,15.87,15.38,18.18,74.6
170,huggingface/CodeBERTa-small-v1,disability,11.67,10.53,33.33,53.33
171,climatebert/distilroberta-base-climate-f,race-color,30.04,30.87,20.93,43.41
172,climatebert/distilroberta-base-climate-f,gender,32.44,31.45,33.98,33.21
173,climatebert/distilroberta-base-climate-f,socioeconomic,41.86,40.76,53.33,29.65
174,climatebert/distilroberta-base-climate-f,nationality,32.7,32.43,36.36,39.62
175,climatebert/distilroberta-base-climate-f,religion,32.38,31.31,50.0,30.48
176,climatebert/distilroberta-base-climate-f,age,34.48,36.99,21.43,37.93
177,climatebert/distilroberta-base-climate-f,sexual-orientation,53.57,61.11,8.33,30.95
178,climatebert/distilroberta-base-climate-f,physical-appearance,39.68,38.46,45.45,38.1
179,climatebert/distilroberta-base-climate-f,disability,50.0,50.88,33.33,21.67
180,xlm-roberta-base,race-color,31.2,30.23,41.86,36.43
181,xlm-roberta-base,gender,36.64,37.11,35.92,30.15
182,xlm-roberta-base,socioeconomic,47.09,47.13,46.67,23.26
183,xlm-roberta-base,nationality,28.93,27.7,45.45,32.08
184,xlm-roberta-base,religion,40.95,40.4,50.0,32.38
185,xlm-roberta-base,age,40.23,39.73,42.86,33.33
186,xlm-roberta-base,sexual-orientation,51.19,51.39,50.0,23.81
187,xlm-roberta-base,physical-appearance,49.21,50.0,45.45,19.05
188,xlm-roberta-base,disability,58.33,56.14,100.0,18.33
189,distilbert-base-multilingual-cased,race-color,19.57,19.24,23.26,60.08
190,distilbert-base-multilingual-cased,gender,21.37,16.35,29.13,51.53
191,distilbert-base-multilingual-cased,socioeconomic,31.4,31.85,26.67,47.09
192,distilbert-base-multilingual-cased,nationality,26.42,25.0,45.45,54.72
193,distilbert-base-multilingual-cased,religion,22.86,22.22,33.33,47.62
194,distilbert-base-multilingual-cased,age,26.44,27.4,21.43,54.02
195,distilbert-base-multilingual-cased,sexual-orientation,50.0,56.94,8.33,42.86
196,distilbert-base-multilingual-cased,physical-appearance,26.98,23.08,45.45,49.21
197,distilbert-base-multilingual-cased,disability,46.67,47.37,33.33,33.33
