,model,bias_type,metric_score,stereotype_score,antistereotype_score
85,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract,age,54.02,58.9,28.57
86,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract,sexual-orientation,59.52,66.67,16.67
87,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract,physical-appearance,49.21,46.15,63.64
88,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract,disability,70.0,70.18,66.67
89,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract,overall,55.64,56.28,51.84
90,nlpaueb/legal-bert-base-uncased,race-color,59.5,60.68,46.51
91,nlpaueb/legal-bert-base-uncased,gender,51.53,50.31,53.4
92,nlpaueb/legal-bert-base-uncased,socioeconomic,60.47,60.51,60.0
93,nlpaueb/legal-bert-base-uncased,nationality,52.83,51.35,72.73
94,nlpaueb/legal-bert-base-uncased,religion,72.38,71.72,83.33
95,nlpaueb/legal-bert-base-uncased,age,54.02,54.79,50.0
96,nlpaueb/legal-bert-base-uncased,sexual-orientation,75.0,79.17,50.0
97,nlpaueb/legal-bert-base-uncased,physical-appearance,57.14,53.85,72.73
98,nlpaueb/legal-bert-base-uncased,disability,68.33,68.42,66.67
99,nlpaueb/legal-bert-base-uncased,overall,59.22,59.92,55.05
100,GroNLP/hateBERT,race-color,58.53,59.2,51.16
101,GroNLP/hateBERT,gender,52.67,49.69,57.28
102,GroNLP/hateBERT,socioeconomic,53.49,53.5,53.33
103,GroNLP/hateBERT,nationality,52.83,53.38,45.45
104,GroNLP/hateBERT,religion,69.52,70.71,50.0
105,GroNLP/hateBERT,age,59.77,64.38,35.71
106,GroNLP/hateBERT,sexual-orientation,66.67,70.83,41.67
107,GroNLP/hateBERT,physical-appearance,58.73,61.54,45.45
108,GroNLP/hateBERT,disability,61.67,63.16,33.33
109,GroNLP/hateBERT,overall,57.76,58.76,51.83
110,anferico/bert-for-patents,race-color,54.26,55.81,37.21
111,anferico/bert-for-patents,gender,45.42,45.28,45.63
112,anferico/bert-for-patents,socioeconomic,39.53,40.76,26.67
113,anferico/bert-for-patents,nationality,52.2,51.35,63.64
114,anferico/bert-for-patents,religion,60.0,57.58,100.0
115,anferico/bert-for-patents,age,56.32,54.79,64.29
116,anferico/bert-for-patents,sexual-orientation,54.76,55.56,50.0
117,anferico/bert-for-patents,physical-appearance,53.97,50.0,72.73
118,anferico/bert-for-patents,disability,63.33,63.16,66.67
119,anferico/bert-for-patents,overall,51.72,52.32,48.17
120,jackaduma/SecBERT,race-color,54.46,54.97,48.84
121,jackaduma/SecBERT,gender,46.56,40.25,56.31
122,jackaduma/SecBERT,socioeconomic,45.93,45.22,53.33
123,jackaduma/SecBERT,nationality,54.09,56.76,18.18
124,jackaduma/SecBERT,religion,60.0,59.6,66.67
125,jackaduma/SecBERT,age,39.08,39.73,35.71
126,jackaduma/SecBERT,sexual-orientation,58.33,55.56,75.0
127,jackaduma/SecBERT,physical-appearance,50.79,51.92,45.45
128,jackaduma/SecBERT,disability,56.67,54.39,100.0
129,jackaduma/SecBERT,overall,51.72,51.55,52.75
130,albert-base-v1,race-color,58.53,59.41,48.84
131,albert-base-v1,gender,53.44,52.83,54.37
132,albert-base-v1,socioeconomic,64.53,65.61,53.33
133,albert-base-v1,nationality,49.06,50.0,36.36
134,albert-base-v1,religion,66.67,65.66,83.33
135,albert-base-v1,age,59.77,61.64,50.0
136,albert-base-v1,sexual-orientation,67.86,73.61,33.33
137,albert-base-v1,physical-appearance,57.14,55.77,63.64
138,albert-base-v1,disability,65.0,66.67,33.33
139,albert-base-v1,overall,58.69,59.85,51.84
140,albert-base-v2,race-color,51.16,50.32,60.47
141,albert-base-v2,gender,54.2,47.17,65.05
142,albert-base-v2,socioeconomic,60.47,61.15,53.33
143,albert-base-v2,nationality,51.57,50.68,63.64
144,albert-base-v2,religion,59.05,59.6,50.0
145,albert-base-v2,age,65.52,69.86,42.86
146,albert-base-v2,sexual-orientation,75.0,79.17,50.0
147,albert-base-v2,physical-appearance,46.03,48.08,36.36
148,albert-base-v2,disability,86.67,85.96,100.0
149,albert-base-v2,overall,56.7,56.2,59.63
150,roberta-base,race-color,47.29,47.78,41.86
151,roberta-base,gender,54.96,59.12,48.54
152,roberta-base,socioeconomic,56.4,57.32,46.67
153,roberta-base,nationality,45.28,43.24,72.73
154,roberta-base,religion,56.19,53.54,100.0
155,roberta-base,age,64.37,67.12,50.0
156,roberta-base,sexual-orientation,69.05,72.22,50.0
157,roberta-base,physical-appearance,66.67,67.31,63.64
158,roberta-base,disability,71.67,71.93,66.67
159,roberta-base,overall,54.05,54.57,50.92
160,distilroberta-base,race-color,51.94,52.85,41.86
161,distilroberta-base,gender,53.82,60.38,43.69
162,distilroberta-base,socioeconomic,62.21,63.06,53.33
163,distilroberta-base,nationality,45.91,44.59,63.64
164,distilroberta-base,religion,55.24,53.54,83.33
165,distilroberta-base,age,57.47,60.27,42.86
166,distilroberta-base,sexual-orientation,71.43,76.39,41.67
167,distilroberta-base,physical-appearance,58.73,57.69,63.64
168,distilroberta-base,disability,60.0,61.4,33.33
169,distilroberta-base,overall,55.04,56.43,46.79
170,roberta-large,race-color,61.24,62.58,46.51
171,roberta-large,gender,51.91,55.97,45.63
172,roberta-large,socioeconomic,66.28,66.24,66.67
173,roberta-large,nationality,56.6,54.05,90.91
174,roberta-large,religion,59.05,57.58,83.33
175,roberta-large,age,71.26,72.6,64.29
176,roberta-large,sexual-orientation,71.43,72.22,66.67
177,roberta-large,physical-appearance,68.25,71.15,54.55
178,roberta-large,disability,66.67,68.42,33.33
179,roberta-large,overall,61.21,62.56,53.21
180,huggingface/CodeBERTa-small-v1,race-color,42.64,40.8,62.79
181,huggingface/CodeBERTa-small-v1,gender,55.73,50.94,63.11
182,huggingface/CodeBERTa-small-v1,socioeconomic,47.67,48.41,40.0
183,huggingface/CodeBERTa-small-v1,nationality,38.36,37.84,45.45
184,huggingface/CodeBERTa-small-v1,religion,42.86,41.41,66.67
185,huggingface/CodeBERTa-small-v1,age,40.23,36.99,57.14
186,huggingface/CodeBERTa-small-v1,sexual-orientation,58.33,61.11,41.67
187,huggingface/CodeBERTa-small-v1,physical-appearance,53.97,50.0,72.73
188,huggingface/CodeBERTa-small-v1,disability,30.0,29.82,33.33
189,huggingface/CodeBERTa-small-v1,overall,45.76,43.49,59.18
190,climatebert/distilroberta-base-climate-f,race-color,52.33,53.7,37.21
191,climatebert/distilroberta-base-climate-f,gender,51.15,50.31,52.43
192,climatebert/distilroberta-base-climate-f,socioeconomic,59.3,59.62,60.0
193,climatebert/distilroberta-base-climate-f,nationality,54.09,53.38,63.64
194,climatebert/distilroberta-base-climate-f,religion,52.38,52.53,50.0
195,climatebert/distilroberta-base-climate-f,age,60.92,64.38,42.86
196,climatebert/distilroberta-base-climate-f,sexual-orientation,65.48,73.61,16.67
197,climatebert/distilroberta-base-climate-f,physical-appearance,57.14,55.77,63.64
198,climatebert/distilroberta-base-climate-f,disability,58.33,59.65,33.33
199,climatebert/distilroberta-base-climate-f,overall,54.78,55.94,48.17
200,xlm-roberta-base,race-color,51.36,50.32,62.79
201,xlm-roberta-base,gender,50.38,50.94,49.51
202,xlm-roberta-base,socioeconomic,55.23,56.05,46.67
203,xlm-roberta-base,nationality,42.14,40.54,63.64
204,xlm-roberta-base,religion,52.38,51.52,66.67
205,xlm-roberta-base,age,51.72,52.05,50.0
206,xlm-roberta-base,sexual-orientation,65.48,65.28,66.67
207,xlm-roberta-base,physical-appearance,58.73,57.69,63.64
208,xlm-roberta-base,disability,66.67,64.91,100.0
209,xlm-roberta-base,overall,52.45,51.94,55.5
210,distilbert-base-multilingual-cased,race-color,46.32,46.51,44.19
211,distilbert-base-multilingual-cased,gender,46.56,43.4,51.46
212,distilbert-base-multilingual-cased,socioeconomic,58.14,57.96,60.0
213,distilbert-base-multilingual-cased,nationality,53.46,52.03,72.73
214,distilbert-base-multilingual-cased,religion,43.81,44.44,33.33
215,distilbert-base-multilingual-cased,age,65.52,67.12,57.14
216,distilbert-base-multilingual-cased,sexual-orientation,72.62,79.17,33.33
217,distilbert-base-multilingual-cased,physical-appearance,55.56,50.0,81.82
218,distilbert-base-multilingual-cased,disability,63.33,64.91,33.33
219,distilbert-base-multilingual-cased,overall,51.92,51.94,51.84
